;Total;;;Homens;;;Mulheres;;
Local;Total;15 a 19 anos;20 a 24 anos;Total;15 a 19 anos;20 a 24 anos;Total;15 a 19 anos;20 a 24 anos
Torre - Recife (PE);2709,11;561,51;906,68;3220,18;458,87;937,53;2289,38;650,04;877,7
Cordeiro - Recife (PE);1535,53;478,59;761,35;1816,57;519,42;784,35;1290,51;436,76;739,77
Zumbi - Recife (PE);1151,41;453,23;679,69;1323,78;450,08;721,39;1000,48;456,04;631,18
Madalena - Recife (PE);3016,02;567,12;959,22;3682,35;638,26;1023,42;2454,1;486,1;894,17
Prado - Recife (PE);1448,35;441,23;670,14;1655,18;427,08;705,98;1257,44;457,07;631,6
Ilha do Retiro - Recife (PE);2682,31;443,73;846,86;3238,28;548,64;970,74;2129,65;305,68;699,22
Bongi - Recife (PE);1025,52;349,73;579,83;1245,33;350,95;641,94;827,35;348,3;514,36
San Martin - Recife (PE);1146,79;449,87;689,39;1360,03;475,68;746,41;939,04;424,35;629,56
Mustardinha - Recife (PE);722,18;343,34;536,31;841,94;363,39;586,51;609,98;316,23;487,14
Mangueira - Recife (PE);668,82;353,31;519;782,34;371,01;569,86;564,66;332,02;470,25
Várzea - Recife (PE);1164,98;398,22;685,75;1330,58;419,66;734,23;1001,9;374,69;631,92
Caxangá - Recife (PE);1309,65;414,49;725,94;1517,92;401,84;744,7;1098,11;434,77;705,08
Iputinga - Recife (PE);1191,91;409,4;681,18;1367,88;433,86;718,81;1023,74;378,39;640
Torrões - Recife (PE);686,25;358,31;518,53;792,4;365,44;557,16;574,84;349,25;466,46
Engenho do Meio - Recife (PE);1346,86;479,04;715,37;1600,14;541,27;772,25;1113,53;415,81;650,13
Cidade Universitária - Recife (PE);1134,42;344,47;534,21;1373,21;340,42;534,32;766,93;351,43;533,94
Afogados - Recife (PE);892,73;418,24;626,7;1022,35;418,75;665,95;767,64;417,57;580,26
Jiquiá - Recife (PE);984,43;367,16;578,93;1154,51;372,12;610,03;797,91;360,6;538,65
Estância - Recife (PE);833,23;386,68;573,47;976,64;432,64;632,54;694,74;321,47;499,42
Areias - Recife (PE);1092,16;448,7;677,59;1262,49;458,79;738,15;930,82;437,41;615,62
Caçote - Recife (PE);658,12;342,98;518,57;771,67;380,74;581,06;543,68;283,71;443,08
Curado - Recife (PE);760,99;414,68;560,05;877,24;459,85;599,92;626,96;363,59;505,36
Totó - Recife (PE);717,16;323,54;547,11;855,46;317,75;572,27;586,43;329,33;515,66
Coqueiral - Recife (PE);661,88;377,66;548,51;757,38;416,26;606,8;556,33;325,46;474,49
Sancho - Recife (PE);859,72;384,38;647,04;952,56;392,18;626,52;758,53;373,88;673,29
Tejipió - Recife (PE);1165,39;488,43;734,25;1339,24;475,53;789,08;987,81;505,43;671,76
Jardim São Paulo - Recife (PE);1120,01;465,88;692,5;1288,39;470,66;757,85;946,47;458,74;613,62
Barro - Recife (PE);785,33;413,33;556,47;907,76;432,39;611,07;659,47;389,55;484,61
Cohab - Recife (PE);710,53;408,84;581,78;811,03;436,57;641,66;597,52;369,36;502,52
Jordão - Recife (PE);726,81;413,26;562,84;818,31;421,8;608,52;627,89;400,28;506,47
Ibura - Recife (PE);713,97;394,13;568,45;835,53;416,85;633,16;578,94;361,51;490,33
Ipsep - Recife (PE);1331,9;511,81;776,52;1552,87;509,05;831,3;1132,48;515,23;711,6
Imbiribeira - Recife (PE);1189,46;422,06;664,67;1375,37;434,15;692,84;1003,01;404,99;631,44
Boa Viagem - Recife (PE);3945,03;700,97;1182,24;5064,06;813,1;1297,87;2941,36;576,42;1063,68
Pina - Recife (PE);1477,12;434,68;669,89;1758,74;449,61;690,04;1205,01;417,39;646,01
Brasília Teimosa - Recife (PE);688,26;378,45;588,61;789,11;416,42;633;586,67;335,56;531,14
Fonte: IBGE - Censo Demográfico;;;;;;;;;
