UF;Abrangencia;Inicio;Fim
PE;ABREU E LIMA;72730;75635
PE;AFOGADOS DA INGAZEIRA;25046;26900
PE;AFRÂNIO;13337;14225
PE;AGRESTINA;15776;17404
PE;ÁGUA PRETA;19853;21526
PE;ÁGUAS BELAS;29161;26126
PE;ALAGOINHA;9191;10190
PE;ALIANÇA;27478;29220
PE;ALTINHO;16440;16903
PE;AMARAJI;16261;17341
PE;ANGELIM;7422;8011
PE;ARAÇOIABA;12894;14463
PE;ARARIPINA;48919;53807
PE;ARCOVERDE;42885;45643
PE;BARRA DE GUABIRABA;8690;9581
PE;BARREIROS;30214;31719
PE;BELÉM DE MARIA;7625;8344
PE;BELÉM DE SÃO FRANCISCO;14909;14101
PE;BELO JARDIM;52209;55101
PE;BETÂNIA;8587;9586
PE;BEZERROS;42332;44705
PE;BODOCÓ;21261;23245
PE;BOM CONSELHO;30571;32024
PE;BOM JARDIM;28384;30619
PE;BONITO;27026;29126
PE;BREJÃO;7726;8429
PE;BREJINHO;5665;6457
PE;BREJO DA MADRE DE DEUS;25193;28299
PE;BUENOS AIRES;9506;10498
PE;BUÍQUE;32203;34972
PE;CABO DE SANTO AGOSTINHO;126977;141266
PE;CABROBÓ;20101;22115
PE;CACHOEIRINHA;14169;15161
PE;CAETÉS;15953;17444
PE;CALÇADO;6988;7360
PE;CALUMBI;5309;5817
PE;CAMARAGIBE;100255;108227
PE;CAMOCIM DE SÃO FÉLIX;12798;13537
PE;CAMUTANGA;6330;6854
PE;CANHOTINHO;17467;18080
PE;CAPOEIRAS;14723;15232
PE;CARNAÍBA;12788;14115
PE;CARNAUBEIRA DA PENHA;8701;9783
PE;CARPINA;46341;50754
PE;CARUARU;177765;199656
PE;CASINHAS;10941;12019
PE;CATENDE;24272;26106
PE;CEDRO;7862;8867
PE;CHÃ DE ALEGRIA;8864;9785
PE;CHÃ GRANDE;13980;15607
PE;CONDADO;17003;18128
PE;CORRENTES;12194;12535
PE;CORTÊS;10030;10689
PE;CUMARU;14279;14999
PE;CUPIRA;17690;19098
PE;CUSTÓDIA;24770;25970
PE;DORMENTES;12387;13535
PE;ESCADA;44325;46651
PE;EXU;0;27558
PE;EXÚ;25632;0
PE;FEIRA NOVA;15932;14774
PE;FERNANDO DE NORONHA;1738;2126
PE;FERREIROS;9391;8308
PE;FLORES;17474;15115
PE;FLORESTA;19442;20886
PE;FREI MIGUELINHO;10910;10662
PE;GAMELEIRA;15053;16503
PE;GARANHUNS;78844;85753
PE;GLÓRIA DO GOITÁ;20192;21840
PE;GOIANA;51748;55846
PE;GRANITO;4295;5105
PE;GRAVATÁ;50560;56233
PE;IATI;13947;14695
PE;IBIMIRIM;18116;17329
PE;IBIRAJUBA;5456;6050
PE;IGARASSU;58829;65416
PE;IGUARACI;9304;9600
PE;ILHA DE ITAMARACÁ;0;12416
PE;INAJÁ;9215;10773
PE;INGAZEIRA;3039;3488
PE;IPOJUCA;50947;59746
PE;IPUBI;17349;19757
PE;ITACURUBA;3246;3858
PE;ITAÍBA;17090;18686
PE;ITAMARACÁ;13819;0
PE;ITAMBÉ;22680;24880
PE;ITAPETIM;11863;10552
PE;ITAPISSUMA;15769;14149
PE;ITAQUITINGA;11651;12576
PE;JABOATÃO DOS GUARARAPES;376054;400638
PE;JAQUEIRA;8450;8725
PE;JATAÚBA;11387;12459
PE;JATOBÁ;10165;10863
PE;JOÃO ALFREDO;22994;20785
PE;JOAQUIM NABUCO;10602;11978
PE;JUCATI;8356;8747
PE;JUPI;8627;10322
PE;JUREMA;9411;10489
PE;LAGOA DE ITAENGA;14951;16453
PE;LAGOA DO CARRO;11180;12384
PE;LAGOA DO OURO;8732;9669
PE;LAGOA DOS GATOS;11373;11977
PE;LAGOA GRANDE;15682;17056
PE;LAJEDO;27204;24907
PE;LIMOEIRO;43744;46012
PE;MACAPARANA;16587;18340
PE;MACHADOS;8162;9393
PE;MANARI;9136;10402
PE;MARAIAL;9718;9829
PE;MIRANDIBA;11112;10630
PE;MOREILÂNDIA;8920;8227
PE;MORENO;38006;41711
PE;NAZARÉ DA MATA;24283;25154
PE;OLINDA;283492;300299
PE;OROBÓ;17262;18795
PE;OROCÓ;9420;10554
PE;OURICURI;38818;42117
PE;PALMARES;41914;44103
PE;PALMEIRINA;6571;6722
PE;PANELAS;19621;20483
PE;PARANATAMA;7886;8187
PE;PARNAMIRIM;14681;15974
PE;PASSIRA;23132;24522
PE;PAUDALHO;31912;35129
PE;PAULISTA;175833;188626
PE;PEDRA;16027;16844
PE;PESQUEIRA;44531;46408
PE;PETROLÂNDIA;20875;23144
PE;PETROLINA;146996;167351
PE;POÇÃO;8383;8816
PE;POMBOS;15821;17491
PE;PRIMAVERA;8971;9734
PE;QUIPAPÁ;16498;17240
PE;QUIXABA;5127;5398
PE;RECIFE;1079742;1140743
PE;RIACHO DAS ALMAS;13870;15808
PE;RIBEIRÃO;30294;31100
PE;RIO FORMOSO;17046;14016
PE;SAIRÉ;9637;10343
PE;SALGADINHO;5079;5812
PE;SALGUEIRO;34343;37158
PE;SALOÁ;11736;12615
PE;SANHARÓ;12679;14221
PE;SANTA CRUZ;9462;9796
PE;SANTA CRUZ DA BAIXA VERDE;9442;8837
PE;SANTA CRUZ DO CAPIBARIBE;43121;50369
PE;SANTA FILOMENA;8943;9942
PE;SANTA MARIA DA BOA VISTA;24067;26303
PE;SANTA MARIA DO CAMBUCÁ;8808;9717
PE;SANTA TEREZINHA;7763;8172
PE;SÃO BENEDITO DO SUL;7494;7843
PE;SÃO BENTO DO UNA;30858;33356
PE;SÃO CAETANO;26015;0
PE;SÃO CAITANO;0;27868
PE;SÃO JOÃO;15033;16435
PE;SÃO JOAQUIM DO MONTE;16179;16775
