UF;Abrangencia;Inicio;Fim
PE;SÃO JOSÉ DA COROA GRANDE;10577;12308
PE;SÃO JOSÉ DO BELMONTE;24106;25255
PE;SÃO JOSÉ DO EGITO;22306;23793
PE;SÃO LOURENÇO DA MATA;66550;71972
PE;SÃO VICENTE FÉRRER;12862;13900
PE;SERRA TALHADA;51429;55536
PE;SERRITA;13079;14205
PE;SERTÂNIA;25232;22587
PE;SIRINHAÉM;26591;23986
PE;SOLIDÃO;4371;4951
PE;SURUBIM;37727;41382
PE;TABIRA;18655;19544
PE;TACAIMBÓ;9715;10273
PE;TACARATU;11768;12644
PE;TAMANDARÉ;13327;13079
PE;TAQUARITINGA DO NORTE;15493;17460
PE;TEREZINHA;5427;5448
PE;TERRA NOVA;6731;6919
PE;TIMBAÚBA;42934;45055
PE;TORITAMA;17436;21928
PE;TRACUNHAÉM;10326;9698
PE;TRINDADE;16845;18058
PE;TRIUNFO;10967;11605
PE;TUPANATINGA;14341;15667
PE;TUPARETAMA;6723;7224
PE;VENTUROSA;11799;11633
PE;VERDEJANTE;7777;6765
PE;VERTENTE DO LÉRIO;6064;6977
PE;VERTENTES;12015;13432
PE;VICÊNCIA;21861;22809
PE;VITÓRIA DE SANTO ANTÃO;88020;93983
PE;XEXÉU;10557;11288
PE;;0;0
