UF;Abrangencia;Inicio;Fim
PE;MOREILÂNDIA;8550;8983
PE;MORENO;41212;45882
PE;NAZARÉ DA MATA;26348;24341
PE;OLINDA;311127;278961
PE;OROBÓ;19675;20041
PE;OROCÓ;11261;12071
PE;OURICURI;45102;48555
PE;PALMARES;37511;39586
PE;PALMEIRINA;6812;6593
PE;PANELAS;21059;21474
PE;PARANATAMA;9252;9553
PE;PARNAMIRIM;17021;17533
PE;PASSIRA;25878;24144
PE;PAUDALHO;39043;43552
PE;PAULISTA;205679;211049
PE;PEDRA;17876;18643
PE;PESQUEIRA;48318;49591
PE;PETROLÂNDIA;22214;23916
PE;PETROLINA;195239;204923
PE;POÇÃO;9513;9680
PE;POMBOS;18767;17626
PE;PRIMAVERA;10295;11416
PE;QUIPAPÁ;17550;17783
PE;QUIXABA;5640;5765
PE;RECIFE;1086975;1149157
PE;RIACHO DAS ALMAS;17416;17836
PE;RIBEIRÃO;31682;26866
PE;RIO FORMOSO;15787;16135
PE;SAIRÉ;10871;10201
PE;SALGADINHO;6321;6961
PE;SALGUEIRO;36158;39498
PE;SALOÁ;12974;13013
PE;SANHARÓ;13923;15394
PE;SANTA CRUZ;10594;11466
PE;SANTA CRUZ DA BAIXA VERDE;9522;8562
PE;SANTA CRUZ DO CAPIBARIBE;58053;56726
PE;SANTA FILOMENA;10495;11751
PE;SANTA MARIA DA BOA VISTA;27286;29327
PE;SANTA MARIA DO CAMBUCÁ;10480;10593
PE;SANTA TEREZINHA;8352;7349
PE;SÃO BENEDITO DO SUL;8252;8712
PE;SÃO BENTO DO UNA;34891;35696
PE;SÃO CAITANO;26797;28973
PE;SÃO JOÃO;17154;17966
PE;SÃO JOAQUIM DO MONTE;14885;16476
PE;SÃO JOSÉ DA COROA GRANDE;12716;14437
PE;SÃO JOSÉ DO BELMONTE;26257;24551
PE;SÃO JOSÉ DO EGITO;24482;21624
PE;SÃO LOURENÇO DA MATA;76328;72070
PE;SÃO VICENTE FÉRRER;12337;13536
PE;SERRA TALHADA;51517;56936
PE;SERRITA;14884;15481
PE;SERTÂNIA;24813;25958
PE;SIRINHAÉM;25521;27225
PE;SOLIDÃO;5267;5187
PE;SURUBIM;44514;43632
PE;TABIRA;17539;19538
PE;TACAIMBÓ;9072;9865
PE;TACARATU;15017;15751
PE;TAMANDARÉ;14972;16519
PE;TAQUARITINGA DO NORTE;18605;19544
PE;TEREZINHA;5971;6326
PE;TERRA NOVA;7569;7754
PE;TIMBAÚBA;39175;41073
PE;TORITAMA;26692;30509
PE;TRACUNHAÉM;10508;10212
PE;TRINDADE;20985;22260
PE;TRIUNFO;12098;10828
PE;TUPANATINGA;16535;17712
PE;TUPARETAMA;8020;7517
PE;VENTUROSA;12686;13713
PE;VERDEJANTE;7884;7219
PE;VERTENTE DO LÉRIO;7743;7337
PE;VERTENTES;15135;16077
PE;VICÊNCIA;20129;21508
PE;VITÓRIA DE SANTO ANTÃO;98678;93853
PE;XEXÉU;11433;9496
PE;;0;0
