UF;Abrangencia;Inicio;Fim
PE;ABREU E LIMA;77950;81597
PE;AFOGADOS DA INGAZEIRA;25637;27047
PE;AFRÂNIO;15410;16271
PE;AGRESTINA;19022;18334
PE;ÁGUA PRETA;22454;23423
PE;ÁGUAS BELAS;29690;31553
PE;ALAGOINHA;11091;12311
PE;ALIANÇA;25373;27397
PE;ALTINHO;14592;15984
PE;AMARAJI;17598;16071
PE;ANGELIM;8287;9130
PE;ARAÇOIABA;15650;14878
PE;ARARIPINA;50805;55473
PE;ARCOVERDE;42284;46074
PE;BARRA DE GUABIRABA;9802;9030
PE;BARREIROS;27951;30157
PE;BELÉM DE MARIA;8851;9519
PE;BELÉM DE SÃO FRANCISCO;14966;0
PE;BELÉM DO SÃO FRANCISCO;0;14587
PE;BELO JARDIM;57741;61012
PE;BETÂNIA;9816;10097
PE;BEZERROS;46913;44167
PE;BODOCÓ;25240;22697
PE;BOM CONSELHO;34020;35737
PE;BOM JARDIM;31812;28225
PE;BONITO;30996;29117
PE;BREJÃO;8951;8720
PE;BREJINHO;6741;7293
PE;BREJO DA MADRE DE DEUS;29962;31664
PE;BUENOS AIRES;10959;10717
PE;BUÍQUE;37085;38456
PE;CABO DE SANTO AGOSTINHO;154978;149762
PE;CABROBÓ;23582;24649
PE;CACHOEIRINHA;14048;15283
PE;CAETÉS;18686;19194
PE;CALÇADO;7790;6579
PE;CALUMBI;6242;5847
PE;CAMARAGIBE;116856;111782
PE;CAMOCIM DE SÃO FÉLIX;14579;14047
PE;CAMUTANGA;6472;7134
PE;CANHOTINHO;15144;16090
PE;CAPOEIRAS;15685;15596
PE;CARNAÍBA;13306;14659
PE;CARNAUBEIRA DA PENHA;10227;11348
PE;CARPINA;54489;51710
PE;CARUARU;203768;219253
PE;CASINHAS;12379;11211
PE;CATENDE;23124;24427
PE;CEDRO;9416;9540
PE;CHÃ DE ALEGRIA;10398;10246
PE;CHÃ GRANDE;17097;18185
PE;CONDADO;19106;20018
PE;CORRENTES;12890;13442
PE;CORTÊS;10876;10165
PE;CUMARU;14842;15009
PE;CUPIRA;17535;18917
PE;CUSTÓDIA;24844;26655
PE;DORMENTES;14633;15903
PE;ESCADA;42973;45402
PE;EXU;28827;25852
PE;FEIRA NOVA;16349;17861
PE;FERNANDO DE NORONHA;2262;2770
PE;FERREIROS;8535;9301
PE;FLORES;16200;15473
PE;FLORESTA;22139;23144
PE;FREI MIGUELINHO;11588;11084
PE;GAMELEIRA;17040;14776
PE;GARANHUNS;81404;89020
PE;GLÓRIA DO GOITÁ;23428;21587
PE;GOIANA;53197;57860
PE;GRANITO;6077;5893
PE;GRAVATÁ;61489;65386
PE;IATI;15000;15392
PE;IBIMIRIM;18808;19840
PE;IBIRAJUBA;5917;6329
PE;IGARASSU;70504;79948
PE;IGUARACI;9983;0
PE;IGUARACY;0;8482
PE;ILHA DE ITAMARACÁ;15625;16913
PE;INAJÁ;12257;13273
PE;INGAZEIRA;3833;3818
PE;IPOJUCA;60754;73781
PE;IPUBI;20997;21758
PE;ITACURUBA;4200;3987
PE;ITAÍBA;16168;17976
PE;ITAMBÉ;21550;23143
PE;ITAPETIM;11434;12129
PE;ITAPISSUMA;16197;17853
PE;ITAQUITINGA;13102;13691
PE;JABOATÃO DOS GUARARAPES;431054;448499
PE;JAQUEIRA;9158;9822
PE;JATAÚBA;13283;13806
PE;JATOBÁ;10842;9821
PE;JOÃO ALFREDO;22850;24126
PE;JOAQUIM NABUCO;12253;12981
PE;JUCATI;9220;8954
PE;JUPI;11044;11360
PE;JUREMA;10193;11116
PE;LAGOA DE ITAENGA;17359;18197
PE;LAGOA DO CARRO;13387;12944
PE;LAGOA DO OURO;10180;10528
PE;LAGOA DOS GATOS;12122;12149
PE;LAGOA GRANDE;17714;19953
PE;LAJEDO;27916;27818
PE;LIMOEIRO;46932;42174
PE;MACAPARANA;17991;19199
PE;MACHADOS;9952;9542
PE;MANARI;11607;12585
PE;MARAIAL;10016;9686
PE;MIRANDIBA;11625;10984
