"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23655";"CALÇADO";"94";"5";"Senador";"6408";"21";"2";"6408";"21";"5467";"941";"N";"6979";"989";"2966";"0";"0";"0";"16:14:07";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25259";"POMBOS";"102";"5";"Senador";"17143";"56";"17";"17143";"56";"15273";"1870";"N";"17493";"3756";"9297";"0";"0";"0";"16:14:12";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25836";"SIRINHAÉM";"26";"3";"Governador";"27169";"85";"1";"27169";"85";"21550";"5619";"N";"15424";"1259";"4867";"0";"0";"0";"16:14:12";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25194";"PETROLÂNDIA";"70";"6";"Deputado Federal";"23948";"78";"0";"23948";"78";"18696";"5252";"N";"14650";"1137";"1720";"1189";"0";"0";"16:14:14";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"26158";"TUPANATINGA";"143";"3";"Governador";"17463";"54";"1";"17463";"54";"11393";"6070";"N";"8206";"584";"2603";"0";"0";"0";"16:14:14";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25615";"SÃO CAITANO";"44";"6";"Deputado Federal";"29070";"93";"8";"29070";"93";"23710";"5360";"N";"16721";"1848";"3717";"1424";"0";"0";"16:14:11";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23612";"CACHOEIRINHA";"44";"3";"Governador";"15306";"46";"1";"15306";"46";"11960";"3346";"N";"7607";"1034";"3319";"0";"0";"0";"16:14:11";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25330";"RIACHO DAS ALMAS";"41";"7";"Deputado Estadual";"17260";"59";"0";"17260";"59";"15247";"2013";"N";"12207";"841";"1099";"1100";"0";"0";"16:14:11";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25690";"SÃO JOSÉ DO BELMONTE";"74";"5";"Senador";"24019";"78";"6";"24019";"78";"19021";"4998";"N";"27001";"2887";"8154";"0";"0";"0";"16:14:53";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24872";"MORENO";"14";"3";"Governador";"45603";"131";"0";"45603";"131";"38079";"7524";"N";"26424";"2560";"9095";"0";"0";"0";"16:14:24";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25151";"PEDRA";"58";"3";"Governador";"18601";"59";"1";"18601";"59";"13240";"5361";"N";"9543";"811";"2886";"0";"0";"0";"16:14:10";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23574";"CABO DE SANTO AGOSTINHO";"15";"7";"Deputado Estadual";"61189";"202";"5";"61189";"202";"54633";"6556";"N";"39874";"3114";"8913";"2732";"0";"0";"16:14:25";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25518";"SANTA MARIA DA BOA VISTA";"81";"5";"Senador";"29078";"91";"1";"29078";"91";"22292";"6786";"N";"34445";"2672";"7467";"0";"0";"0";"16:14:12";"07/11/2018"
